md5,duplicate_group_id,label,filepath,filename,is_cross_class_group,match_type
79bd35d90c441cc30c504a386c74602c,1,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1277.jpg,R_1277.jpg,False,exact_md5
79bd35d90c441cc30c504a386c74602c,1,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_38.jpg,R_38.jpg,False,exact_md5
95bd2693fd68b87d40601c3002ebdf21,2,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_799.jpg,R_799.jpg,True,exact_md5
95bd2693fd68b87d40601c3002ebdf21,2,2_Organic,d:\GitHub\satria-data-bdc-2026\train\2_Organic\O_8873.jpg,O_8873.jpg,True,exact_md5
f68c12198de0306eac34db4d1ae67ae9,3,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_8442.jpg,R_8442.jpg,False,exact_md5
f68c12198de0306eac34db4d1ae67ae9,3,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_9284.jpg,R_9284.jpg,False,exact_md5
08a364c3cede63a2273820590b06498e,4,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_8486.jpg,R_8486.jpg,False,exact_md5
08a364c3cede63a2273820590b06498e,4,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_9205.jpg,R_9205.jpg,False,exact_md5
37a636d104a9026bebc6fab63254551b,5,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_8567.jpg,R_8567.jpg,False,exact_md5
37a636d104a9026bebc6fab63254551b,5,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_9471.jpg,R_9471.jpg,False,exact_md5
793daccac5f6354f2b2865ce9369edd4,6,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_8577.jpg,R_8577.jpg,False,exact_md5
793daccac5f6354f2b2865ce9369edd4,6,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_9410.jpg,R_9410.jpg,False,exact_md5
02b6ec5bc7c76efed16027bea19fd211,7,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_8715.jpg,R_8715.jpg,False,exact_md5
02b6ec5bc7c76efed16027bea19fd211,7,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_9275.jpg,R_9275.jpg,False,exact_md5
1dec435a888f181736969f22c63c68ac,8,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_8721.jpg,R_8721.jpg,False,exact_md5
1dec435a888f181736969f22c63c68ac,8,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_9487.jpg,R_9487.jpg,False,exact_md5
32f4987cd55ee570be6b1a3ddf7fb23d,9,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_8803.jpg,R_8803.jpg,False,exact_md5
32f4987cd55ee570be6b1a3ddf7fb23d,9,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_9412.jpg,R_9412.jpg,False,exact_md5
218cf6e6307b5c2c9f289617d82f2a3a,10,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_8805.jpg,R_8805.jpg,False,exact_md5
218cf6e6307b5c2c9f289617d82f2a3a,10,0_Recyclable,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_9484.jpg,R_9484.jpg,False,exact_md5
