filename,filepath,label,label_folder,duplicate_group_id,exclude_from_cv,exclude_from_training,fold
R_1.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1.jpg,0,0_Recyclable,0,False,False,4
R_10.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_10.jpg,0,0_Recyclable,1,False,False,1
R_100.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_100.jpg,0,0_Recyclable,2,False,False,3
R_1000.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1000.jpg,0,0_Recyclable,3,False,False,3
R_1001.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1001.jpg,0,0_Recyclable,4,False,False,4
R_1002.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1002.jpg,0,0_Recyclable,5,False,False,4
R_1003.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1003.jpg,0,0_Recyclable,6,False,False,1
R_1004.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1004.jpg,0,0_Recyclable,7,False,False,0
R_1005.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1005.jpg,0,0_Recyclable,8,False,False,3
R_1006.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1006.jpg,0,0_Recyclable,9,False,False,0
R_1007.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1007.jpg,0,0_Recyclable,10,False,False,3
R_1008.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1008.jpg,0,0_Recyclable,11,False,False,2
R_1009.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1009.jpg,0,0_Recyclable,12,False,False,0
R_101.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_101.jpg,0,0_Recyclable,13,False,False,0
R_1010.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1010.jpg,0,0_Recyclable,14,False,False,4
R_1011.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1011.jpg,0,0_Recyclable,15,False,False,0
R_1012.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1012.jpg,0,0_Recyclable,16,False,False,0
R_1013.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1013.jpg,0,0_Recyclable,17,False,False,3
R_1014.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1014.jpg,0,0_Recyclable,18,False,False,1
R_1015.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1015.jpg,0,0_Recyclable,19,False,False,3
R_1016.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1016.jpg,0,0_Recyclable,20,False,False,3
R_1017.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1017.jpg,0,0_Recyclable,21,False,False,0
R_1018.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1018.jpg,0,0_Recyclable,22,False,False,3
R_1019.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1019.jpg,0,0_Recyclable,23,False,False,0
