filename,filepath,label,label_folder,duplicate_group_id,exclude_from_cv,exclude_from_training
R_1.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1.jpg,0,0_Recyclable,0,False,False
R_10.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_10.jpg,0,0_Recyclable,1,False,False
R_100.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_100.jpg,0,0_Recyclable,2,False,False
R_1000.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1000.jpg,0,0_Recyclable,3,False,False
R_1001.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1001.jpg,0,0_Recyclable,4,False,False
R_1002.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1002.jpg,0,0_Recyclable,5,False,False
R_1003.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1003.jpg,0,0_Recyclable,6,False,False
R_1004.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1004.jpg,0,0_Recyclable,7,False,False
R_1005.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1005.jpg,0,0_Recyclable,8,False,False
R_1006.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1006.jpg,0,0_Recyclable,9,False,False
R_1007.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1007.jpg,0,0_Recyclable,10,False,False
R_1008.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1008.jpg,0,0_Recyclable,11,False,False
R_1009.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1009.jpg,0,0_Recyclable,12,False,False
R_101.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_101.jpg,0,0_Recyclable,13,False,False
R_1010.jpg,d:\GitHub\satria-data-bdc-2026\train\0_Recyclable\R_1010.jpg,0,0_Recyclable,14,False,False
